Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
522	5,5367	9,8473	0,	1,0567e+005
523	4,5729	10,25	0,	2,1102e+005
524	4,8797	9,8547	0,	1,6058e+005
525	3,905	10,25	0,	2,9547e+005
526	4,2244	9,8798	0,	2,2839e+005
527	3,2371	10,25	0,	3,8749e+005
528	3,5616	9,8993	0,	3,0627e+005
529	2,5692	10,25	0,	4,7893e+005
530	2,8994	9,8992	0,	3,8558e+005
531	1,9013	10,25	0,	5,6002e+005
532	2,2409	9,8986	0,	4,5948e+005
533	1,2339	10,25	0,	6,2077e+005
534	1,5802	9,9042	0,	5,2184e+005
535	0,91638	9,9134	0,	5,6462e+005
536	0,25	9,2949	0,	4,4838e+005
537	0,5911	9,595	0,	4,9459e+005
538	0,25	8,6582	0,	3,5061e+005
539	0,60397	8,9396	0,	3,8083e+005
540	0,25	8,0214	0,	2,79e+005
541	0,61807	8,2874	0,	2,975e+005
542	0,25	7,3847	0,	2,2715e+005
543	0,63023	7,6388	0,	2,3586e+005
544	0,25	6,748	0,	1,915e+005
545	0,63959	6,9956	0,	1,9084e+005
546	0,25	6,1112	0,	1,7034e+005
547	0,63482	6,3612	0,	1,5979e+005
548	0,25	5,4745	0,	1,6437e+005
549	0,61601	5,7326	0,	1,417e+005
550	0,25	4,8378	0,	1,7516e+005
551	0,59649	5,1048	0,	1,3599e+005
552	0,25	4,2122	0,	2,047e+005
553	0,56819	4,4849	0,	1,4473e+005
554	0,25	3,6334	0,	2,5152e+005
555	0,54587	3,9221	0,	1,6476e+005
556	0,25	3,1383	0,	3,0174e+005
557	0,52653	3,4173	0,	1,8906e+005
558	0,25	2,7315	0,	3,2491e+005
559	0,49632	2,9794	0,	2,0929e+005
560	0,25	2,3992	0,	2,7041e+005
561	0,45007	2,5998	0,	2,0552e+005
562	0,25	2,1284	0,	77056
563	0,4156	2,3009	0,	1,2257e+005
564	0,25	1,9067	0,	-3,5404e+005
565	0,38423	2,0476	0,	-1,0318e+005
566	0,25	1,7277	0,	-1,1021e+006
567	0,3508	1,8244	0,	-6,3229e+005
568	0,25	1,5845	0,	-2,2398e+006
569	0,33905	1,6733	0,	-1,4058e+006
570	0,25	1,4679	0,	-3,8739e+006
571	0,32255	1,5435	0,	-2,5974e+006
572	0,25	1,3722	0,	-6,053e+006
573	0,3087	1,4303	0,	-4,385e+006
574	0,29752	1,3286	0,	-7,0839e+006
575	7,5907	7,2827	0,	-22240
576	7,2045	7,386	0,	-23858
577	7,4937	7,818	0,	-7333,6
578	7,8666	7,5508	0,	-12608
579	7,4715	6,8597	0,	-38338
580	7,9199	6,9903	0,	-25184
581	3,3814	2,6814	0,	-5,4644e+005
582	3,4391	2,2873	0,	-3,9082e+005
583	3,912	2,6736	0,	-3,605e+005
584	3,7688	2,2321	0,	-2,1955e+005
585	4,1767	4,1927	0,	-3,7068e+005
586	4,1043	4,8123	0,	-3,263e+005
587	3,5087	4,0874	0,	-4,8231e+005
588	3,6136	4,6177	0,	-3,6296e+005
589	2,5068	2,4862	0,	-9,7827e+005
590	2,7652	2,7518	0,	-8,5753e+005
591	2,3019	2,745	0,	-9,9504e+005
592	2,2524	2,5159	0,	-1,1285e+006
593	5,3039	6,304	0,	-1,222e+005
594	4,8444	5,9509	0,	-1,6076e+005
595	5,7039	5,7145	0,	-1,5241e+005
596	5,2484	5,2405	0,	-2,0669e+005
597	2,5484	1,959	0,	-8,1349e+005
598	2,7414	1,7951	0,	-4,7471e+005
599	2,7911	2,1079	0,	-6,8588e+005
600	2,5137	1,7601	0,	-6,4721e+005
601	2,5341	2,1865	0,	-9,4431e+005
602	2,4303	2,2915	0,	-1,0604e+006
603	2,7768	2,3354	0,	-8,1669e+005
604	2,378	1,9056	0,	-9,4848e+005
605	2,3245	2,0149	0,	-1,0874e+006
606	4,6467	3,5839	0,	-3,0032e+005
607	4,8236	4,3076	0,	-3,0295e+005
608	4,1274	3,6685	0,	-4,2036e+005
609	3,0352	2,601	0,	-6,9595e+005
610	2,8949	3,0551	0,	-7,3397e+005
611	3,4679	3,1287	0,	-5,8929e+005
612	6,549	6,9887	0,	-51664
613	5,7662	6,7571	0,	-75250
614	6,633	6,4463	0,	-72738
615	6,1348	7,2809	0,	-36285
616	6,1661	6,1676	0,	-1,0546e+005
617	3,8777	5,3774	0,	-2,3953e+005
618	4,3473	5,6375	0,	-2,1264e+005
619	4,7513	4,9272	0,	-2,5856e+005
620	3,0432	1,8941	0,	-3,2916e+005
621	2,6695	1,5642	0,	-1,9828e+005
622	2,9391	1,5651	0,	-24617
623	6,8142	7,6229	0,	-15442
624	7,0853	6,963	0,	-39956
625	2,4316	3,0483	0,	-8,7149e+005
626	1,9865	2,6685	0,	-1,1065e+006
627	1,9611	2,9041	0,	-8,9739e+005
628	2,1759	2,3212	0,	-1,2106e+006
629	2,0067	2,2779	0,	-1,3442e+006
630	1,937	2,4393	0,	-1,2399e+006
631	2,9809	4,0658	0,	-4,9871e+005
632	2,5736	4,5759	0,	-3,2582e+005
633	2,5204	4,3059	0,	-3,854e+005
634	3,0858	4,5961	0,	-3,7935e+005
