Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
462	4,5661	0,5799	0,	1,0465e+007
463	5,4772	0,25	0,	1,0293e+007
464	5,1817	0,61313	0,	1,035e+007
465	6,1133	0,25	0,	1,0211e+007
466	5,8052	0,63391	0,	1,026e+007
467	6,7494	0,25	0,	1,0138e+007
468	6,4406	0,64439	0,	1,0181e+007
469	7,3855	0,25	0,	1,0069e+007
470	7,0751	0,63946	0,	1,0108e+007
471	8,0217	0,25	0,	9,9966e+006
472	7,7143	0,61935	0,	1,0036e+007
473	8,6578	0,25	0,	9,9176e+006
474	8,347	0,59631	0,	9,9616e+006
475	9,2939	0,25	0,	9,8256e+006
476	8,9826	0,58354	0,	9,8777e+006
477	9,6166	0,58078	0,	9,7783e+006
478	10,25	9,916	0,	9,9992e+006
479	9,9161	10,25	0,	1,e+007
480	10,25	1,2339	0,	9,674e+006
481	9,9357	0,90606	0,	9,7194e+006
482	10,25	1,9013	0,	9,7148e+006
483	9,935	1,5786	0,	9,7468e+006
484	10,25	2,5692	0,	9,7682e+006
485	9,9203	2,252	0,	9,7901e+006
486	10,25	3,2371	0,	9,826e+006
487	9,8853	2,9258	0,	9,8419e+006
488	10,25	3,905	0,	9,8808e+006
489	9,8552	3,5939	0,	9,8914e+006
490	10,25	4,5729	0,	9,9273e+006
491	9,8461	4,2623	0,	9,9332e+006
492	10,25	5,2408	0,	9,9623e+006
493	9,853	4,9293	0,	9,9652e+006
494	10,25	5,9087	0,	9,985e+006
495	9,8674	5,5906	0,	9,987e+006
496	10,25	6,5766	0,	9,9966e+006
497	9,8852	6,2526	0,	9,9996e+006
498	10,25	7,2445	0,	9,9999e+006
499	9,8954	6,9166	0,	1,0004e+007
500	10,25	7,9124	0,	9,9988e+006
501	9,9005	7,5803	0,	1,0004e+007
502	10,25	8,5803	0,	9,9971e+006
503	9,9027	8,2466	0,	1,0002e+007
504	10,25	9,2482	0,	9,9973e+006
505	9,9028	8,9108	0,	9,9995e+006
506	9,9075	9,578	0,	9,9993e+006
507	0,57528	10,25	0,	1,0002e+007
508	0,25	9,9316	0,	9,9951e+006
509	9,2482	10,25	0,	9,9998e+006
510	9,5736	9,9119	0,	1,e+007
511	8,5803	10,25	0,	9,9995e+006
512	8,8971	9,9098	0,	1,0001e+007
513	7,9124	10,25	0,	9,9993e+006
514	8,2228	9,8998	0,	1,0001e+007
515	7,2445	10,25	0,	9,9989e+006
516	7,5472	9,888	0,	1,0002e+007
517	6,5766	10,25	0,	9,9987e+006
518	6,8739	9,8729	0,	1,0003e+007
519	5,9087	10,25	0,	9,9985e+006
520	6,2031	9,8626	0,	1,0003e+007
521	5,2408	10,25	0,	9,9985e+006
522	5,5367	9,8473	0,	1,0004e+007
523	4,5729	10,25	0,	9,9988e+006
524	4,8797	9,8547	0,	1,0003e+007
525	3,905	10,25	0,	9,9994e+006
526	4,2244	9,8798	0,	1,0002e+007
527	3,2371	10,25	0,	1,e+007
528	3,5616	9,8993	0,	1,0001e+007
529	2,5692	10,25	0,	1,0001e+007
530	2,8994	9,8992	0,	9,999e+006
531	1,9013	10,25	0,	1,0002e+007
532	2,2409	9,8986	0,	9,9972e+006
533	1,2339	10,25	0,	1,0002e+007
534	1,5802	9,9042	0,	9,9957e+006
535	0,91638	9,9134	0,	9,9948e+006
536	0,25	9,2949	0,	9,9689e+006
537	0,5911	9,595	0,	9,9875e+006
538	0,25	8,6582	0,	9,9219e+006
539	0,60397	8,9396	0,	9,9495e+006
540	0,25	8,0214	0,	9,8563e+006
541	0,61807	8,2874	0,	9,8934e+006
542	0,25	7,3847	0,	9,7705e+006
543	0,63023	7,6388	0,	9,82e+006
544	0,25	6,748	0,	9,6595e+006
545	0,63959	6,9956	0,	9,7264e+006
546	0,25	6,1112	0,	9,5135e+006
547	0,63482	6,3612	0,	9,6068e+006
548	0,25	5,4745	0,	9,3153e+006
549	0,61601	5,7326	0,	9,4488e+006
550	0,25	4,8378	0,	9,0359e+006
551	0,59649	5,1048	0,	9,2331e+006
552	0,25	4,2122	0,	8,6306e+006
553	0,56819	4,4849	0,	8,9254e+006
554	0,25	3,6334	0,	8,0563e+006
555	0,54587	3,9221	0,	8,5157e+006
556	0,25	3,1383	0,	7,3004e+006
557	0,52653	3,4173	0,	7,9675e+006
558	0,25	2,7315	0,	6,368e+006
559	0,49632	2,9794	0,	7,2473e+006
560	0,25	2,3992	0,	5,2812e+006
561	0,45007	2,5998	0,	6,293e+006
562	0,25	2,1284	0,	4,0631e+006
563	0,4156	2,3009	0,	5,2098e+006
564	0,25	1,9067	0,	2,7957e+006
565	0,38423	2,0476	0,	3,9659e+006
566	0,25	1,7277	0,	1,5985e+006
567	0,3508	1,8244	0,	2,5436e+006
568	0,25	1,5845	0,	5,8268e+005
569	0,33905	1,6733	0,	1,4476e+006
570	0,25	1,4679	0,	-1,309e+005
571	0,32255	1,5435	0,	4,7819e+005
572	0,25	1,3722	0,	-4,4929e+005
573	0,3087	1,4303	0,	-2,2959e+005
574	0,29752	1,3286	0,	-4,8304e+005
575	7,5907	7,2827	0,	1,0062e+007
576	7,2045	7,386	0,	1,0071e+007
577	7,4937	7,818	0,	1,0048e+007
578	7,8666	7,5508	0,	1,0047e+007
579	7,4715	6,8597	0,	1,0082e+007
580	7,9199	6,9903	0,	1,0059e+007
581	3,3814	2,6814	0,	1,0928e+007
582	3,4391	2,2873	0,	1,1072e+007
583	3,912	2,6736	0,	1,0837e+007
584	3,7688	2,2321	0,	1,0915e+007
585	4,1767	4,1927	0,	1,0454e+007
586	4,1043	4,8123	0,	1,0348e+007
587	3,5087	4,0874	0,	1,0453e+007
588	3,6136	4,6177	0,	1,0317e+007
589	2,5068	2,4862	0,	1,1103e+007
590	2,7652	2,7518	0,	1,092e+007
591	2,3019	2,745	0,	1,0737e+007
592	2,2524	2,5159	0,	1,0943e+007
593	5,3039	6,304	0,	1,0184e+007
594	4,8444	5,9509	0,	1,0204e+007
595	5,7039	5,7145	0,	1,0221e+007
596	5,2484	5,2405	0,	1,0292e+007
597	2,5484	1,959	0,	1,1602e+007
598	2,7414	1,7951	0,	1,1589e+007
599	2,7911	2,1079	0,	1,1421e+007
600	2,5137	1,7601	0,	1,1816e+007
601	2,5341	2,1865	0,	1,1426e+007
602	2,4303	2,2915	0,	1,129e+007
603	2,7768	2,3354	0,	1,1245e+007
604	2,378	1,9056	0,	1,175e+007
605	2,3245	2,0149	0,	1,1599e+007
606	4,6467	3,5839	0,	1,0527e+007
607	4,8236	4,3076	0,	1,043e+007
